market,ticker,wave,latest_period,reported_signal,earnings_normalization,capital_and_cashflow_normalization,dilution_normalization,concentration_normalization,price_as_of,price,price_currency,equity_value_proxy_bn,equity_value_currency,share_basis,normalization_status,confidence,evidence_file,market_source
KR,000660,01,2026_Q2,"Q2 revenue KRW79.32T; operating profit KRW60.54T; net income KRW93.92T","Reconcile net income above operating profit to non-operating valuation tax and financing items","Normalize shortage margins capex commitments working capital and through-cycle memory cash flow","Basic shares about 728.87M; ADR and fully diluted reconciliation pending","Separate HBM customer concentration from commodity DRAM and NAND cycle",2026-09-04,1647000,KRW,1200440,KRW,"provider basic shares 728.87M; fully diluted and ADR reconciliation pending",PARTIAL,LOW,evidence-wave-01.md#000660--sk하이닉스,https://stockanalysis.com/quote/krx/000660/
KR,207940,01,2026_Q2,"Q2 revenue KRW1.321T; operating profit KRW586.4B; H1 operating profit KRW1.167T","Separate consolidated one-offs and acquisition accounting from plant operating economics","Include Plant 5 ramp Rockville integration and PolyPeptide bid cash in incremental ROIC","Basic shares about 46.29M; fully diluted and acquisition consideration pending","Quantify top-customer and molecule concentration plus contracted utilization",2026-09-04,1447000,KRW,66980,KRW,"provider basic shares 46.29M; fully diluted pending",PARTIAL,MEDIUM,evidence-wave-01.md#207940--삼성바이오로직스,https://www.google.com/finance/quote/207940:KRX
KR,005380,01,2026_Q2,"Q2 revenue KRW49.22T; operating profit KRW2.85T; wholesale volume -6.9%","Separate auto manufacturing earnings from finance subsidiaries FX and warranty provisions","Normalize incentives tariffs working capital captive-finance funding and EV plant investment","Common basic shares about 204.76M; preferred classes and fully diluted equity value require reconciliation","Separate HEV mix and North America economics from regional and finance exposure",2026-09-04,383500,KRW,89590,KRW,"provider total equity-value proxy; common and preferred share reconciliation pending",PARTIAL,LOW_MEDIUM,evidence-wave-01.md#005380--현대자동차,https://www.google.com/finance/quote/005380:KRX
KR,012450,01,2026_Q2,"Q2 consolidated revenue KRW9.293T; operating profit KRW1.365T; land-systems backlog about KRW38.3T","Separate core land-systems profit from listed subsidiaries and acquisition or stake effects","Normalize customer advances working capital guarantees delay penalties safety shutdown and growth investment","Basic shares about 51.45M; historical capital raising and fully diluted shares pending","Separate export-country contract and subsidiary concentration",2026-09-04,1055000,KRW,54280,KRW,"provider basic shares 51.45M; fully diluted pending",PARTIAL,LOW_MEDIUM,evidence-wave-01.md#012450--한화에어로스페이스,https://stockanalysis.com/quote/krx/012450/
KR,010120,01,2026_Q2,"Q2 revenue KRW1.577T; operating profit KRW178.5B; backlog about KRW7T","Separate price mix FX and any affiliate or non-operating contributions","Normalize receivables inventory contract liabilities derivatives and expansion capex","Basic shares about 150.0M; fully diluted pending","Quantify North America data-center and large-customer concentration",2026-09-04,195300,KRW,29300,KRW,"provider basic shares 150.0M; fully diluted pending",PARTIAL,MEDIUM,evidence-wave-01.md#010120--ls-electric,https://www.google.com/finance/quote/010120:KRX
KR,267260,02,2026_Q2,"Q2 revenue KRW1.1418T; operating profit KRW287.0B; margin 25.1%","Treat 25% margin as a peak-cycle observation rather than a steady-state fact","Normalize customer advances inventory receivables and multi-site capacity expansion","Basic shares about 36.05M; fully diluted pending","Quantify North America transformer and top-customer concentration plus cancellation terms",2026-09-04,712000,KRW,25740,KRW,"provider basic shares 36.05M; fully diluted pending",PARTIAL,MEDIUM,evidence-wave-02.md#267260--hd현대일렉트릭,https://www.google.com/finance/quote/267260:KRX
KR,035420,02,2026_Q2,"Q2 revenue KRW3.3888T; operating profit KRW520.3B; Npay volume KRW25.2T","Separate core platform profit from C2C integration financial-platform credit costs and investment gains","Include AI infrastructure depreciation purchase commitments and pro-forma data-center funding","Add announced 7.2M NVIDIA placement shares to 152.08M provider basic shares; pro-forma 159.28M before other dilution","Separate Korean search-ad economics from C2C fintech and sovereign-AI projects",2026-09-04,213500,KRW,34007,KRW,"pro-forma price x 159.28M shares; other fully diluted instruments pending",PARTIAL,MEDIUM,evidence-wave-02.md#035420--naver,https://www.reuters.com/business/media-telecom/nvidia-acquire-1-billion-new-shares-south-koreas-naver-2026-07-26/
KR,259960,02,2026_Q2,"Q2 revenue KRW1.2902T; operating profit KRW410.9B; Subnautica 2 five million units in 22 days","Separate recurring PUBG economics from launch timing development capitalization and dispute effects","Normalize contract liabilities capitalized development costs acquisition earn-outs and buyback cash","Basic shares implied by provider equity value; treasury-share cancellation and fully diluted awards pending","Separate PUBG Subnautica and other IP economics by platform and geography",2026-09-04,216500,KRW,9410,KRW,"provider equity-value proxy; treasury shares and fully diluted awards pending",PARTIAL,MEDIUM_LOW,evidence-wave-02.md#259960--크래프톤,https://stockanalysis.com/quote/krx/259960/market-cap/
KR,196170,02,2026_Q2,"Q2 revenue KRW68.894B; operating profit KRW34.180B; H1 operating profit KRW73.481B","Do not capitalize headline maximum milestones; recognize probability timing obligations and cash collection contract by contract","Include KRW253.2B facility commitment R&D cash and milestone working capital in owner economics","Basic shares about 69.66M; options convertibles and fully diluted shares pending","Separate ALT-B4 platform contracts by partner molecule and development stage",2026-09-04,288500,KRW,20100,KRW,"provider basic shares 69.66M; fully diluted pending",PARTIAL,LOW,evidence-wave-02.md#196170--알테오젠,https://www.google.com/finance/quote/196170:KOSDAQ
KR,278470,02,2026_Q2,"Q2 revenue KRW767.5B; operating profit KRW190.6B; overseas mix 92%","Separate channel sell-in launch costs FX and any fair-value or non-operating items","Normalize inventory returns receivables advertising CAC and offline rollout investment","Basic shares about 37.44M; fully diluted awards pending","Quantify Medicube hero-SKU platform geography and retailer concentration",2026-09-04,394000,KRW,14750,KRW,"provider basic shares 37.44M; fully diluted pending",PARTIAL,MEDIUM,evidence-wave-02.md#278470--apr,https://www.google.com/finance/quote/278470:KRX
