market,ticker,wave,source_gate,latest_period,triage,hard_red_flag_latest,normalization_status,latest_total_score,score_status,red_team_verdict,deep_dive_queue_rank,next_action
US,LLY,02,ANNUAL_AND_CURRENT_PRIMARY,2026_Q2,WATCH,PRODUCT_CONCENTRATION_AND_INCREMENTAL_ROIC_INVESTIGATE,VALUATION_INPUTS_USABLE,43,SCORED_A,REVISE,4,Build product-level access pricing and manufacturing-acquisition returns
US,VRTX,02,ANNUAL_AND_CURRENT_PRIMARY,2026_Q2,WATCH,PRODUCT_CONCENTRATION_AND_INCREMENTAL_ROIC_INVESTIGATE,VALUATION_INPUTS_USABLE,39,SCORED_B,REVISE,5,Build product-level diversification and Crinetics risk-adjusted return
US,AXON,02,ANNUAL_AND_CURRENT_PRIMARY,2026_Q2,WATCH,DILUTION_ACCOUNTING_CONTROL_AND_CONTRACT_QUALITY_INVESTIGATE,VALUATION_INPUTS_USABLE,40,SCORED_B,REVISE,,Resolve fully diluted FCF and non-cancellable contract conversion
US,ETN,02,ANNUAL_AND_CURRENT_PRIMARY,2026_Q2,WATCH,ACQUISITION_INCREMENTAL_ROIC_AND_CYCLE_INVESTIGATE,VALUATION_INPUTS_USABLE,37,SCORED_B,REVISE,,Test Boyd organic return and cycle-normalized margin
US,VRT,02,ANNUAL_AND_CURRENT_PRIMARY,2026_Q2,WATCH,PRICE_CUSTOMER_CONCENTRATION_ORDER_QUALITY_AND_CYCLE_INVESTIGATE,VALUATION_INPUTS_USABLE,41,SCORED_B,REVISE,,Validate backlog cancellation and normalized advance-adjusted FCF
KR,267260,02,CURRENT_IR_AND_INDEPENDENT_RECAST,2026_Q2,WATCH,PRICE_CONCENTRATION_INCREMENTAL_ROIC_AND_WORKING_CAPITAL_INVESTIGATE,VALUATION_INPUTS_USABLE,39,SCORED_B,REVISE,,Stress backlog quality and normalized-cycle pricing and margins
KR,035420,02,HALF_YEAR_DART_AND_CURRENT_IR,2026_Q2,WATCH,AI_CAPITAL_ALLOCATION_MOAT_AND_DILUTION_INVESTIGATE,VALUATION_INPUTS_USABLE,38,SCORED_B,PASS,1,Verify search moat and post-AI-investment per-share FCF
KR,259960,02,CURRENT_IR_PRIMARY_AND_COURT_OPINION,2026_Q2,SCREEN_OUT,MANAGEMENT_INTEGRITY_FAIL_AND_CONCENTRATION_INVESTIGATE,VALUATION_INPUTS_USABLE,40,SCORED_B_HARD_VETO,REJECT,,Require independent governance remediation and quantified settlement economics
KR,196170,02,CURRENT_IR_PRIMARY_AND_PARTNER_FILINGS,2026_Q2,WATCH,CONTRACT_IP_CONCENTRATION_AND_PRICE_INVESTIGATE,CUSTOM_CONTRACT_TREE_USABLE_LOW_CONFIDENCE,37,SCORED_B,REVISE,5,Resolve contract-level cash royalties and IP-FTO
KR,278470,02,CURRENT_IR_PRIMARY_ANNUAL_PENDING,2026_Q2,WATCH,BRAND_PRODUCT_CHANNEL_AND_WORKING_CAPITAL_CONCENTRATION_INVESTIGATE,VALUATION_INPUTS_USABLE,38,SCORED_B,REVISE,4,Verify cohort repurchase CAC sell-through and inventory durability
