market,ticker,as_of,scale_unit,hurdle_rate_pct,model_type,equity_value,ttm_revenue,normalized_start_fcf_margin_pct,reverse_terminal_fcf_margin_pct,reverse_terminal_p_fcf,implied_revenue_cagr_5y_pct,implied_revenue_cagr_10y_pct,bear_revenue_cagr_pct,bear_terminal_fcf_margin_pct,bear_terminal_p_fcf,bear_10y_terminal_wealth_irr_pct,base_revenue_cagr_pct,base_terminal_fcf_margin_pct,base_terminal_p_fcf,base_10y_terminal_wealth_irr_pct,bull_revenue_cagr_pct,bull_terminal_fcf_margin_pct,bull_terminal_p_fcf,bull_10y_terminal_wealth_irr_pct,expectation_gap_score,expectation_gap_status,total_score,priority_band,price_hard_flag,overall_hard_flag,screening_decision,promotion_status,confidence,key_limitation
KR,000660,2026-09-04,KRW_TN,10.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,1200.449,189.171,10.0,18.0,12,31.0,18.7,-3.0,6.0,8,-16.7,5.0,16.0,11,-3.1,10.0,22.0,14,5.7,,EVIDENCE_INSUFFICIENT,,,INVESTIGATE,INVESTIGATE,WATCH,BLOCKED_INPUT_RECONCILIATION,LOW,"non-operating gains cash debt and share counts conflict; proxy outputs are not decision-grade"
KR,207940,2026-09-04,KRW_TN,10.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,66.982,5.121,16.0,22.0,22,30.9,19.2,7.0,13.0,16,-7.2,13.0,20.0,20,2.9,18.0,25.0,24,11.1,2,SCORED,40,B,PASS,INVESTIGATE,WATCH,BLOCKED_OTHER_HARD_FLAG,LOW_MEDIUM,"price requires sustained plant utilization while acquisition and customer concentration stay open"
KR,005380,2026-09-04,KRW_TN,10.0,CLASS_ADJUSTED_EQUITY_FCFE_PROXY,89.590,188.714,4.0,5.0,10,1.1,3.2,0.0,3.0,7,1.6,4.0,5.0,9,10.1,7.0,7.0,11,17.5,,EVIDENCE_INSUFFICIENT,,,UNKNOWN,INVESTIGATE,WATCH,BLOCKED_INPUT_RECONCILIATION,LOW,"auto manufacturing captive finance preferred shares and guarantees are not separable in the common model"
KR,012450,2026-09-04,KRW_TN,10.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,54.860,29.952,5.0,9.0,16,11.0,9.3,2.0,4.0,10,-6.0,8.0,8.0,14,6.7,13.0,11.0,18,16.7,3,SCORED,37,B,PASS,INVESTIGATE,WATCH,BLOCKED_OTHER_HARD_FLAG,LOW_MEDIUM,"safety governance advances and subsidiary claims precede promotion"
KR,010120,2026-09-04,KRW_TN,10.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,29.295,5.694,4.0,10.0,18,32.2,19.7,3.0,4.0,12,-14.2,9.0,9.0,16,-1.1,16.0,13.0,22,11.4,1,SCORED,37,B,INVESTIGATE,INVESTIGATE,WATCH,BLOCKED_PRICE_AND_OTHER_FLAGS,LOW_MEDIUM,"hurdle return needs a long high-growth period and materially higher normalized FCF margin"
KR,267260,2026-09-04,KRW_TN,10.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,25.668,4.337,12.0,14.0,16,29.0,17.9,0.0,8.0,10,-11.3,7.0,13.0,14,-0.8,15.0,18.0,20,11.9,1,SCORED,39,B,INVESTIGATE,INVESTIGATE,WATCH,BLOCKED_PRICE_AND_OTHER_FLAGS,LOW_MEDIUM,"current price capitalizes a long supercycle and near-peak transformer economics"
KR,035420,2026-09-04,KRW_TN,10.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,34.006,12.963,11.0,18.0,18,1.2,4.2,3.0,10.0,12,0.8,8.0,17.0,16,12.0,13.0,22.0,20,21.7,6,SCORED,38,B,PASS,INVESTIGATE,WATCH,BLOCKED_OTHER_HARD_FLAG,LOW_MEDIUM,"favorable gap survives announced dilution but AI funding and search-moat evidence remain"
KR,259960,2026-09-04,KRW_TN,10.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,9.526,4.452,20.0,25.0,15,-7.5,-1.0,-2.0,15.0,10,2.6,5.0,23.0,14,14.3,10.0,30.0,18,24.1,6,SCORED,40,B,PASS,INVESTIGATE,WATCH,BLOCKED_OTHER_HARD_FLAG,LOW_MEDIUM,"valuation is favorable but franchise concentration studio dispute and development accounting remain"
KR,196170,2026-09-04,KRW_TN,10.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,20.195,0.254,10.0,45.0,20,67.0,34.9,5.0,8.0,12,-28.6,20.0,35.0,18,-5.0,32.0,50.0,24,10.6,,EVIDENCE_INSUFFICIENT,,,INVESTIGATE,INVESTIGATE,WATCH,BLOCKED_CONTRACT_PROBABILITY_TREE,LOW,"milestones royalties clinical probabilities and IP cannot be represented by a smooth revenue CAGR"
KR,278470,2026-09-04,KRW_TN,10.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,14.972,2.294,12.0,15.0,16,29.8,18.4,3.0,8.0,10,-10.2,12.0,14.0,14,2.9,20.0,18.0,18,14.4,2,SCORED,38,B,PASS,INVESTIGATE,WATCH,BLOCKED_OTHER_HARD_FLAG,LOW_MEDIUM,"price requires durable global brand growth while CAC sell-through and concentration remain unverified"
